Os01g0100100	AK242339
Os06g0290701	ab
Os06g0291100	CT836302
Os06g0291500	AK068835
Os06g0291600	AK100261
Os06g0291800	BT062432
Os06g0292100	BT062432
Os06g0292301	AK240926
Os06g0292400	BT062432
Os06g0292600	AK062856
Os06g0293000	CT836321
Os06g0293050	FP101342
Os06g0293100	ab
Os06g0293300	tplb0033h24
Os06g0293500	AK110449
Os06g0293583	tplb0033h24
Os06g0294000	AK067472
Os06g0294100	FP101342
Os06g0294200	AK119403
Os06g0294300	tplb0033h24
Os06g0294400	ab
Os06g0294501	AK288636
Os06g0294600	AK059089
Os06g0294775	tplb0033d13
Os06g0294950	AK241492
Os06g0295000	AK240760
Os06g0295250	tplb0033h24
Os06g0295300	tplb0007d21
Os06g0295366	AK288490
Os06g0295432	AK289086
Os06g0295500	AK066136
Os06g0295500	AK119433
Os06g0295500	AK101711
Os06g0295700	AK067494
Os06g0295900	AK066750
Os06g0296100	ab
Os06g0296450	EU967040
Os06g0296700	AK065533
Os06g0296750	tplb0033h24
Os06g0296900	BT040966
Os06g0296967	tplb0033h24
Os06g0297300	tplb0044k17
Os06g0297350	tplb0033h24
Os06g0297400	AK071459
Os06g0297500	tplb0033h24
Os06g0297600	AK067425
Os06g0297700	AK287542
Os06g0297800	AK065437
Os06g0297800	AK060808
Os06g0298000	BT036774
Os06g0298100	AK108594
Os06g0298200	AK098865
Os06g0298200	AK121630
Os06g0298400	AK066952
Os06g0298500	AK108252
Os06g0298700	FP096368
Os06g0299100	AK066533
Os06g0299200	ab
Os06g0299300	AK060501
Os06g0299400	BT086891
Os06g0299500	AJ495773
Os06g0300000	AK109790
Os06g0300100	tplb0031o17
Os06g0300200	AK375094
Os06g0300300	AK068813
Os06g0300333	BT009643
Os06g0300366	AK288218
Os06g0300500	AK111400
Os06g0300600	AK060668
Os06g0300700	AK071388
Os06g0300800	AK111728
Os06g0300800	AK100649
Os06g0301000	AK073960
Os06g0301100	AK242142
Os06g0301300	CT836217
Os06g0301400	ab
Os06g0301500	AK099059
Os06g0302000	AK106070
Os06g0302650	BT055204
Os06g0303400	BT063513
Os06g0303501	EU944133
Os06g0303600	AK062462
Os06g0303700	EU961983
Os06g0303800	AK100772
Os06g0304300	AK109897
Os06g0304500	AK119441
Os06g0304600	AK060352
Os06g0304600	AK120604
Os06g0304700	AK106561
Os06g0305200	AK120378
Os06g0305200	AK062221
Os06g0305400	AK333105
Os06g0306201	EU947645
Os06g0306300	AK241369
Os06g0306500	ab
Os06g0306600	AK070763
Os06g0306600	AK099262
Os06g0307500	EU971207
Os06g0307700	EU942606
Os06g0307900	AK120750
Os06g0307900	AK119309
Os06g0308000	AK099680
Os06g0308100	AK071054
Os06g0308200	AK058998
Os06g0308300	AK102553
Os06g0308300	AK059211
Os06g0308300	AK101549
Os06g0308550	tplb0026b06
Os06g0308800	AK066935
Os06g0308900	AK069264
Os06g0309000	AK121021
Os06g0309200	AK103132
Os06g0309400	AK364929
Os06g0309550	CU406696
Os06g0310200	AK288847
Os06g0310350	CU406696
Os06g0310801	AK289174
Os06g0311000	EU972418
Os06g0311300	AK288450
Os06g0311600	AK242683
Os06g0311700	CT836247
Os06g0311800	ab
Os06g0312900	AK069999
Os06g0312950	EU946393
Os06g0313000	ab
Os06g0313320	BT041195
Os06g0313440	ab
Os06g0314000	AK064443
Os06g0314100	AK287687
Os06g0314300	AK101779
Os06g0314400	tplb0004n13
Os06g0314425	BT085076
Os06g0314501	AK241095
Os06g0314600	AK067321
Os06g0315000	ab
Os06g0315300	FP095727
Os06g0315450	EU948738
Os06g0315601	AK066012
Os06g0315900	AK100030
Os06g0316000	AK058338
Os06g0316100	AK119646
Os06g0316100	AK105260
Os06g0316300	CT836289
Os06g0316800	AK062370
Os06g0316950	AF325718
Os06g0317100	CT837813
Os06g0317200	AK063002
Os06g0317200	AK062964
Os06g0317200	AK062457
Os06g0317400	AK241379
Os06g0317600	AK120680
Os06g0318200	AK106874
Os06g0318300	AK060873
Os06g0318300	AK065671
Os06g0318400	BT063021
Os06g0318500	AK376115
Os06g0318533	AK241925
Os06g0318566	tplb0041h13
Os06g0318600	AK069141
Os06g0318650	tplb0022l08
Os06g0318700	AK120250
Os06g0318700	AK061908
Os06g0318800	AK062356
Os06g0318900	AK242692
Os06g0319133	CT836220
Os06g0319366	ab
Os06g0319540	EU946489
Os06g0319600	AK068880
Os06g0319700	AK120884
Os06g0319800	ab
Os06g0319850	BT087949
Os06g0320000	AK242275
Os06g0320100	AK101600
Os06g0320200	AK241587
Os06g0320300	AK058736
Os06g0320300	AK071655
Os06g0320500	AK060904
Os06g0320700	AK072187
Os06g0320801	AK318575
Os06g0320850	AF420409
Os06g0320900	ab
Os06g0321700	AK109831
Os06g0322400	ab
Os06g0323100	AK100029
Os06g0323550	FP099421
Os06g0324000	AK109614
Os06g0324150	AK242131
Os06g0324300	BT067372
Os06g0324400	AK063726
Os06g0324601	BT086156
Os06g0324800	AK109109
Os06g0325200	AY974042
Os06g0325350	BT086132
Os06g0325500	AK063974
Os06g0325500	AK099286
Os06g0325602	CT841595
Os06g0325700	AK111131
Os06g0325900	AF123601
Os06g0325950	tplb0042b08
Os06g0326000	AK121658
Os06g0326400	AK121116
Os06g0326500	AK068142
Os06g0326500	AK071483
Os06g0326700	AK101908
Os06g0326900	AK242108
Os06g0327300	AK106368
Os06g0327400	EU968736
Os06g0328200	EU945030
Os06g0328400	AK121604
Os06g0328650	AK288781
Os06g0328800	AK101557
Os06g0328850	tplb0026g02
Os06g0328900	AK110659
Os06g0328966	AK357549
Os06g0329200	AK068852
Os06g0329200	AK058542
Os06g0329300	AK067924
Os06g0329350	AK241887
Os06g0329900	AK068748
Os06g0330100	ab
Os06g0330250	FM878668
Os06g0330400	BT009316
Os06g0331300	AK121512
Os06g0331300	AK073106
Os06g0331500	AK242911
Os06g0331900	AK120017
Os06g0332400	AK058294
Os06g0332400	AK101738
Os06g0332450	BT083949
Os06g0332500	AK121262
Os06g0332600	AK121615
Os06g0332700	CT836256
Os06g0332800	AK060439
Os06g0332900	AK059857
Os06g0333600	CU405964
Os06g0334100	AK058217
Os06g0334100	AK072856
Os06g0334300	AK065468
Os06g0334300	AK061669
Os06g0334400	AK120969
Os06g0334400	AK059487
Os06g0334600	AK064993
Os06g0335101	AK241386
Os06g0335500	AK121989
Os06g0335500	AK063854
Os06g0335900	ab
Os06g0335950	CT836255
Os06g0335975	ab
Os06g0336001	AK289086
Os06g0336150	AK241165
Os06g0336200	AK104270
Os06g0336200	AK100193
Os06g0336350	BT065465
Os06g0336500	AK072260
Os06g0337100	AK061222
Os06g0337200	EU963277
Os06g0338200	AK067262
Os06g0338700	ab
Os06g0338801	BT063833
Os06g0338900	AK100837
Os06g0339500	AK105220
Os06g0339800	AK372878
Os06g0340001	ab
Os06g0340200	AK069001
Os06g0340200	AK121342
Os06g0340200	AK107260
Os06g0340301	AK242343
Os06g0340600	AK065176
Os06g0340600	AK100224
Os06g0340600	AK061872
Os06g0341300	AK107654
Os06g0341400	AK110872
Os06g0341500	AK106755
Os06g0341600	AK067335
Os06g0341801	AY964640
Os06g0342000	AK101619
Os06g0342100	AK059915
Os06g0342200	AK099441
Os06g0342500	AK242748
Os06g0342750	AK288085
Os06g0343000	AK110938
Os06g0343100	AK100422
Os06g0343100	AK058622
Os06g0343200	AK070033
Os06g0343500	AK106646
Os06g0343600	AK102481
Os06g0343900	AK070940
Os06g0344201	CT841775
Os06g0344900	tplb0021k22
Os06g0345200	AK108576
Os06g0345200	AK107186
Os06g0345732	AK241165
Os06g0346100	AK103642
Os06g0346201	CT836239
Os06g0346300	EU966480
Os06g0346400	AK105492
Os06g0346600	AK061139
Os06g0346900	AK106828
Os06g0346900	AK073489
Os06g0347100	AK063762
Os06g0347300	CT836211
Os06g0347700	AM502900
Os06g0347966	AK241709
Os06g0348800	AK122161
Os06g0348800	AK098915
Os06g0348800	AK065184
Os06g0349700	AB207252
Os06g0349750	EU955821
Os06g0349800	AK062447
Os06g0350200	AK099897
Os06g0350600	EU966479
Os06g0350700	AK288252
Os06g0351500	AK061188
Os06g0352200	AK071746
Os06g0352900	AK121496
Os06g0352900	AK060651
Os06g0353400	AK120298
Os06g0353400	AK071268
Os06g0354500	AK066934
Os06g0354600	AK242440
Os06g0354700	AK066777
Os06g0354700	AK068937
Os06g0354700	AK062125
Os06g0355150	EU973116
Os06g0355300	AK288467
Os06g0355500	AK065914
Os06g0355701	CT831028
Os06g0355800	AK103091
Os06g0356800	AK288061
Os06g0357000	AK288259
Os06g0358800	AK107404
Os06g0359400	AK243322
Os06g0360300	AK105919
Os06g0360300	AK070247
Os06g0360500	AK109778
Os06g0360600	AK120346
Os06g0360600	AK119263
Os06g0360600	AK059997
Os06g0361500	AK120214
Os06g0361750	AK287806
Os06g0362100	AK121132
Os06g0363000	CT837857
Os06g0364500	AK107497
Os06g0364850	AK288566
Os06g0365200	AK069849
Os06g0365450	AK241872
Os06g0365700	AK058208
Os06g0367100	AK066930
Os06g0367100	AK061965
Os06g0367500	AK063619
Os06g0367900	AK100081
Os06g0367900	AK065641
Os06g0418151	tplb0038e20
Os06g0468400	AK064100
Os06g0469800	AK241872
Os06g0470000	AK243642
Os06g0470075	tplb0046e07
Os06g0470350	AK242222
Os06g0470500	CT841648
Os06g0470800	AK073255
Os06g0471100	ab
Os06g0472000	AK063588
Os06g0472000	AK111486
Os06g0472200	AK103043
Os06g0472200	AK059428
Os06g0472300	AK100558
Os06g0472350	tplb0021n11
Os06g0472400	AK067008
Os06g0472400	AK063108
Os06g0472600	AK288820
Os06g0472700	AK103847
Os06g0472700	AK059378
Os06g0472900	AK072945
Os06g0472950	BT084813
Os06g0473000	AK241343
Os06g0473100	AK354588
Os06g0473200	AK119330
Os06g0473200	AK103805
Os06g0473700	AK108049
Os06g0473800	EU952704
Os06g0474000	AK330461
Os06g0474200	AK242820
Os06g0474300	AK103398
Os06g0474500	AK073288
Os06g0474500	AK104980
Os06g0474600	CU405578
Os06g0474800	AK099499
Os06g0474800	AK111525
Os06g0474833	BT061807
Os06g0474866	BT061194
Os06g0474900	AK107179
Os06g0474900	AK120053
Os06g0475400	AK102441
Os06g0475500	AK065759
Os06g0475650	EU946950
Os06g0475800	ab
Os06g0476100	AK065281
Os06g0476150	ab
Os06g0476200	AK068502
Os06g0476200	AK065566
Os06g0476400	ab
Os06g0476500	AK111357
Os06g0476900	AK109851
Os06g0477400	AK071157
Os06g0477600	AK105562
Os06g0478600	AK287827
Os06g0478600	AK064086
Os06g0479200	AK106207
Os06g0479200	AK104074
Os06g0479400	AK109944
Os06g0479701	AK288456
Os06g0480000	AK066627
Os06g0480500	AK071496
Os06g0481000	AK058928
Os06g0481200	tplb0028j17
Os06g0481400	CT836288
Os06g0481800	BT039927
Os06g0481850	AK111398
Os06g0481900	FP100059
Os06g0482200	AK119703
Os06g0483100	BT016692
Os06g0483150	tplb0059b11
Os06g0483200	AK063066
Os06g0483200	AK120065
Os06g0483301	AK064294
Os06g0483500	AK066173
Os06g0483500	AK119390
Os06g0483701	AK287763
Os06g0483900	AK099692
Os06g0484400	AK106712
Os06g0484450	AK330772
Os06g0484500	AK108194
Os06g0484600	AK062871
Os06g0484800	tplb0014n19
Os06g0484950	AK120566
Os06g0485100	AK104282
Os06g0485100	AK068560
Os06g0485100	AK073906
Os06g0486000	AK100169
Os06g0486300	AF361933
Os06g0486400	AK065283
Os06g0486800	AK065872
Os06g0486900	AK064610
Os06g0487300	AK108507
Os06g0487380	AK242115
Os06g0487620	AK241120
Os06g0487660	AY131234
Os06g0487700	ab
Os06g0487900	AK064330
Os06g0487900	AK121622
Os06g0488050	BT068448
Os06g0488125	tplb0028p02
Os06g0488200	AK069690
Os06g0488200	AK120774
Os06g0488600	AK058968
Os06g0489200	AK103574
Os06g0489500	AK120595
Os06g0489900	ab
Os06g0490000	AK105534
Os06g0490200	AK069417
Os06g0490200	AK103613
Os06g0490200	AK105728
Os06g0490400	FP093172
Os06g0490700	AK071337
Os06g0490700	AK105159
Os06g0491300	AK241588
Os06g0491566	AK241353
Os06g0491800	AK064475
Os06g0491901	AK318567
Os06g0492000	AK071004
Os06g0492101	CU405993
Os06g0492300	AK241713
Os06g0492700	ab
Os06g0492750	tplb0059j12
Os06g0492800	ab
Os06g0492900	tplb0034e19
Os06g0493001	tplb0028o22
Os06g0493100	AK063797
Os06g0493600	AK067110
Os06g0493700	AK109204
Os06g0493800	CT837792
Os06g0493801	ab
Os06g0493900	BT038675
Os06g0494000	AK105390
Os06g0494000	AK102288
Os06g0494100	AK069883
Os06g0494100	AK121177
Os06g0494250	tplb0029g16
Os06g0494400	AK067594
Os06g0494701	AK289021
Os06g0495100	ab
Os06g0495500	AK109873
Os06g0495632	BT085104
Os06g0495700	EU961972
Os06g0495800	AK243449
Os06g0496000	AK101102
Os06g0496400	CT836278
Os06g0496601	AK107975
Os06g0496800	AK105608
Os06g0496800	AK069969
Os06g0496875	AK242952
Os06g0497200	ab
Os06g0497275	tplb0041k22
Os06g0497350	ab
Os06g0497500	AK374682
Os06g0497600	AK289160
Os06g0498000	BT069567
Os06g0498150	ab
Os06g0498400	AK103463
Os06g0498400	AK058235
Os06g0498450	tplb0004p17
Os06g0498500	AK099764
Os06g0498500	AK103794
Os06g0498800	AK107056
Os06g0498900	AK065724
Os06g0499000	AK289226
Os06g0499100	AK372739
Os06g0499200	AK064561
Os06g0499301	AK375387
Os06g0499500	AK099376
Os06g0499500	AK107353
Os06g0499500	AK064372
Os06g0499550	tplb0043i20
Os06g0499900	AK072554
Os06g0500100	AK241750
Os06g0500300	FP099278
Os06g0500700	AK241300
Os06g0501900	AK106229
Os06g0502800	BT017734
Os06g0502900	AK120599
Os06g0502900	AK103578
Os06g0503100	AK105826
Os06g0503250	AK361241
Os06g0503400	AK073583
Os06g0503600	AK288340
Os06g0503800	AK360044
Os06g0503850	EU945314
Os06g0503900	AK288884
Os06g0504100	EU959638
Os06g0504450	AK288763
Os06g0504850	EU949846
Os06g0504900	EU665437
Os06g0505100	EU950600
Os06g0505202	EU947364
Os06g0505302	ab
Os06g0505400	AK068107
Os06g0505501	CT836209
Os06g0505700	AK121505
Os06g0505900	AK109247
Os06g0506000	AK108056
Os06g0506100	AK107403
Os06g0506150	AK288420
Os06g0506200	AK067824
Os06g0506600	AK066232
Os06g0506850	BT086907
Os06g0507100	AK242322
Os06g0507150	AK242207
Os06g0507200	AK107785
Os06g0507300	AK111324
Os06g0507400	AK066411
Os06g0507900	AK061326
Os06g0508700	AK059433
Os06g0508800	AK063735
Os06g0508950	ab
Os06g0509100	AK072143
Os06g0509100	AK100292
Os06g0509600	BT043275
Os06g0509900	FP101054
Os06g0510200	AK111004
Os06g0513050	CT833375
Os06g0513781	CT833375
Os06g0513862	CT833375
Os06g0513943	CT833375
Os06g0514100	CT833375
Os06g0514700	AK121642
Os06g0514800	CT833375
Os06g0515400	AK071571
Os06g0516301	CT837631
Os06g0516432	CT836230
Os06g0516800	AK109918
Os06g0517500	CT837724
Os06g0517700	AK242926
Os06g0518100	AK119810
Os06g0518300	AK109313
Os06g0519400	AK119453
Os06g0519700	ab
Os06g0520300	tplb0035f04
Os06g0520600	AK101510
Os06g0520733	AK370184
Os06g0521000	AK119927
Os06g0521200	FP095714
Os06g0521300	AK358816
Os06g0521400	ab
Os06g0521500	AK061144
Os06g0521500	AK072761
Os06g0521900	ab
Os06g0522100	ab
Os06g0522300	AK066954
Os06g0523100	AK062190
Os06g0523100	AK119245
Os06g0523300	AK105345
Os06g0523400	AK121890
Os06g0523701	EU975848
Os06g0523900	ab
Os06g0524300	AK100666
Os06g0524400	AK107013
Os06g0524500	AK066466
Os06g0524700	AK109761
Os06g0524900	AK101846
Os06g0525000	AK119757
Os06g0525200	CT836328
Os06g0526100	AK287482
Os06g0526350	AK242159
Os06g0526400	ab
Os06g0526466	ab
Os06g0526600	AK241349
Os06g0526650	AF366447
Os06g0526700	Q652Z7
Os06g0526800	Q0DBU3
Os06g0527100	AK099993
Os06g0527201	AK288430
Os06g0527300	AK119931
Os06g0527500	AK072021
Os06g0527500	AK107464
Os06g0527800	AK108261
Os06g0528300	ab
Os06g0528350	AK241019
Os06g0528600	AK067301
Os06g0528700	AK105641
Os06g0529800	AK071835
Os06g0529900	CT829739
Os06g0530200	AK073116
Os06g0530200	AK104077
Os06g0530300	AK242514
Os06g0530400	AK102224
Os06g0530600	EU969510
Os06g0530700	AK102915
Os06g0530700	AK059057
Os06g0530700	AK058455
Os06g0531000	BT067286
Os06g0531200	AK105855
Os06g0531200	AK060016
Os06g0531400	AK241266
Os06g0531500	EU969467
Os06g0531600	AK059898
Os06g0531600	AK120456
Os06g0531751	CT835790
Os06g0531900	AK067909
Os06g0532101	tplb0048c08
Os06g0532301	AK288266
Os06g0533700	AB332078
Os06g0534200	AK243535
Os06g0534500	BT055245
Os06g0534800	AK120650
Os06g0534800	AK108739
Os06g0534900	ab
Os06g0534950	CT836212
Os06g0535100	AK368023
Os06g0535200	AK109943
Os06g0535300	AK070898
Os06g0535300	AK059642
Os06g0535333	tplb0024b19
Os06g0535400	AK066960
Os06g0535900	EU974130
Os06g0536100	CT836266
Os06g0536200	AK111381
Os06g0536333	ab
Os06g0536600	BT086527
Os06g0536800	ab
Os06g0536850	AK242532
Os06g0537201	AK242685
Os06g0537300	AK366423
Os06g0537500	EU976563
Os06g0537600	AK063014
Os06g0537700	AK109530
Os06g0538000	AK069949
Os06g0538100	DQ244156
Os06g0538200	AK243158
Os06g0538400	AK108390
Os06g0538900	AK122046
Os06g0539066	AK241811
Os06g0539100	ab
Os06g0539250	AK288687
Os06g0539400	AK063382
Os06g0539500	BT066221
Os06g0539700	AK064662
Os06g0539801	BT064098
Os06g0539975	BT064098
Os06g0540050	ab
Os06g0540200	BT038216
Os06g0541132	AK111390
Os06g0541600	AK356929
Os06g0542000	AK374182
Os06g0542100	AK111086
Os06g0542150	BT016972
Os06g0542200	AK058589
Os06g0542300	AK243289
Os06g0542350	AK288540
Os06g0542600	AK242019
Os06g0542701	AK375039
Os06g0543200	AK073606
Os06g0543400	AK065374
Os06g0543500	tplb0042a18
Os06g0543601	AK241304
Os06g0544100	AK242303
Os06g0544650	tplb0028j17
Os06g0545200	ab
Os06g0545400	AK240647
Os06g0545601	tplb0028j17
Os06g0545800	AK240657
Os06g0545825	tplb0028j17
Os06g0545900	AK070128
Os06g0546000	AK064215
Os06g0546400	AK067243
Os06g0546500	AK073833
Os06g0547100	ab
Os06g0547201	CT836322
Os06g0547400	AK121950
Os06g0547500	AK107081
Os06g0547900	AK105665
Os06g0547900	AK100950
Os06g0547933	tplb0034j24
Os06g0548000	AK101008
Os06g0548100	AK332465
Os06g0548150	BT055691
Os06g0548200	AK105176
Os06g0548350	BT055691
Os06g0548500	AK107690
Os06g0548800	AK072611
Os06g0549050	BT055691
Os06g0549300	CT836254
Os06g0549337	BT055691
Os06g0549525	AK330151
Os06g0549600	AK073505
Os06g0549633	AK377141
Os06g0549666	EU957461
Os06g0549700	AK069260
Os06g0549900	AK109673
Os06g0549950	BT055691
Os06g0550000	EU959195
Os06g0550266	BT016915
Os06g0550442	AM234775
Os06g0550800	AK376009
Os06g0550901	CU861804
Os06g0551000	AK105490
Os06g0551400	AK066548
Os06g0551450	EU948966
Os06g0551500	AK065833
Os06g0551800	AK065388
Os06g0552000	AJ004857
Os06g0552300	AK101229
Os06g0552400	AK106524
Os06g0552400	AK121387
Os06g0552700	Q5Z9E2
Os06g0552800	BT061568
Os06g0552900	CT836192
Os06g0553001	EU972049
Os06g0553100	AK241254
Os06g0553200	AK104528
Os06g0553550	EU945783
Os06g0553700	CT836191
Os06g0553800	AK072932
Os06g0554100	CT836317
Os06g0554200	AK363742
Os06g0554300	AK070137
Os06g0554600	CT836250
Os06g0554700	AK064200
Os06g0554800	AK121182
Os06g0554800	AK058448
Os06g0555101	BT068271
Os06g0555400	AK059383
Os06g0555500	AK102375
Os06g0555500	AK106546
Os06g0555900	AK064273
Os06g0556000	AK102763
Os06g0556101	tplb0036o08
Os06g0556150	tplb0036o08
Os06g0556200	AK071510
Os06g0556300	AK101552
Os06g0556450	EU950242
Os06g0556451	tplb0026g09
Os06g0556600	AK072511
Os06g0557100	AK111851
Os06g0557100	AK119892
Os06g0557200	AK063039
Os06g0557400	AK368347
Os06g0557600	AK107835
Os06g0557700	AK111567
Os06g0558300	BT063261
Os06g0558700	AK059039
Os06g0558766	CT834260
Os06g0558900	AK109653
Os06g0559400	AK068350
Os06g0559400	AK068719
Os06g0559500	AK069355
Os06g0559500	AK289229
Os06g0559500	AK060112
Os06g0559600	AK288799
Os06g0559900	AK106943
Os06g0560000	AK063490
Os06g0560000	AK101863
Os06g0560300	EU969775
Os06g0560400	AK103575
Os06g0560700	AK063332
Os06g0561000	AK103977
Os06g0561050	BT018941
Os06g0561100	ab
Os06g0561200	AK120422
Os06g0561501	AK288734
Os06g0561800	AK360758
Os06g0562200	AK107448
Os06g0562300	AB546644
Os06g0562600	AK067114
Os06g0562700	AK109753
Os06g0563000	AK099669
Os06g0563125	tplb0040g21
Os06g0563250	AK111494
Os06g0563300	AK111862
Os06g0563900	AK243139
Os06g0564100	AK107513
Os06g0564300	AK109759
Os06g0564400	ab
Os06g0564500	AK062038
Os06g0564700	AK070508
Os06g0564800	AK288135
Os06g0565000	AK334388
Os06g0565100	BT068824
Os06g0565150	tplb0051d09
Os06g0565200	Q5Z6A4
Os06g0565250	EU972049
Os06g0565300	ab
Os06g0565900	AK066838
Os06g0566100	AK059225
Os06g0566201	AK241111
Os06g0566300	AK363919
Os06g0566500	AK069227
Os06g0566500	AK063099
Os06g0566700	CT837647
Os06g0566850	ab
Os06g0567000	AK121337
Os06g0567200	AK243375
Os06g0567433	BT019237
Os06g0567666	AK288389
Os06g0567900	AK105605
Os06g0567950	tplb0051b23
Os06g0568000	AK071892
Os06g0568101	BT016866
Os06g0568200	AK099907
Os06g0568200	AK060816
Os06g0568400	ab
Os06g0568600	AK071743
Os06g0569300	AK355522
Os06g0569500	AK287607
Os06g0569601	AK119285
Os06g0569900	AK100964
Os06g0570000	CT836269
Os06g0570100	AK066285
Os06g0570400	AK289149
Os06g0570400	AK288296
Os06g0570566	ab
Os06g0570600	ab
Os06g0570650	FJ901216
Os06g0570900	AK361666
Os06g0571100	AK100812
Os06g0571300	AK242053
Os06g0571400	AK068226
Os06g0571400	AK104931
Os06g0571800	AK068715
Os06g0571800	AK069851
Os06g0572000	AK070117
Os06g0572300	GU160401
Os06g0572350	tplb0030c22
Os06g0572400	AK070273
Os06g0573500	AK287437
Os06g0573600	AK102756
Os06g0573600	AK105619
Os06g0573600	AK059741
Os06g0573800	AK106254
Os06g0573900	Z99964
Os06g0574000	EU953345
Os06g0574100	CT836297
Os06g0574200	AK289262
Os06g0574266	tplb0048h01
Os06g0574332	BT019060
Os06g0574400	AK243130
Os06g0574450	ab
Os06g0574500	AK071838
Os06g0574550	AK243478
Os06g0574601	BT018461
Os06g0574700	AK070321
Os06g0574700	AK101570
Os06g0574900	AK109218
Os06g0574950	CT836313
Os06g0575000	ab
Os06g0575100	AK243159
Os06g0575400	AK111890
Os06g0575500	EU973161
Os06g0575900	AK375141
Os06g0576200	AF015523
Os06g0576600	EU977041
Os06g0576800	ab
Os06g0577350	FP099851
Os06g0578100	BT054858
Os06g0578700	AK243263
Os06g0579100	AK068691
Os06g0579201	AK241059
Os06g0579400	AK111053
Os06g0579600	AK067582
Os06g0579800	AK242935
Os06g0580100	AK059529
Os06g0580100	AK069433
Os06g0581000	AK071803
Os06g0581151	tplb0061c10
Os06g0581300	AK073185
Os06g0581300	AK070987
Os06g0581500	AK099816
Os06g0581701	AK242217
Os06g0582400	AK063377
Os06g0582600	AK067453
Os06g0583400	AK068682
Os06g0583400	AK068051
Os06g0583501	tplb0043n03
Os06g0583600	AK370415
Os06g0583900	AK072583
Os06g0584000	tplb0007g05
Os06g0584200	AK073844
Os06g0584200	AK106549
Os06g0584200	AK068592
Os06g0584400	AK072622
Os06g0585900	AK121210
Os06g0585900	AK111007
Os06g0585950	AK368125
Os06g0585982	AK368125
Os06g0586000	AK119252
Os06g0586150	AK368125
Os06g0586300	AK119379
Os06g0586900	AK121162
Os06g0586900	AK120396
Os06g0587000	AK368125
Os06g0587100	ab
Os06g0587200	AK368125
Os06g0587300	AK069419
Os06g0587900	ab
Os06g0588450	CT836296
Os06g0588800	AK368125
Os06g0588900	AK071741
Os06g0589300	AK098963
Os06g0589500	AK073322
Os06g0589600	AK111758
Os06g0589700	AK064233
Os06g0589750	tplb0035f12
Os06g0589800	AK101039
Os06g0589900	AK062501
Os06g0589950	BT085651
Os06g0590301	AK241239
Os06g0590500	AK107080
Os06g0590550	BT018467
Os06g0590600	AK101025
Os06g0590700	AK287492
Os06g0590800	AK375409
Os06g0591050	CT828918
Os06g0591200	AK062563
Os06g0591400	AK061129
Os06g0591450	ab
Os06g0591551	ab
Os06g0591600	AK073898
Os06g0592200	EU970913
Os06g0592400	AK062788
Os06g0592500	AK122052
Os06g0592950	EU948664
Os06g0592951	BT036163
Os06g0593100	AK060274
Os06g0593200	AK060513
Os06g0593800	AK062590
Os06g0594100	AK072650
Os06g0594100	AK120136
Os06g0594200	AK287541
Os06g0594300	AK110986
Os06g0594400	AK065435
Os06g0594600	CT836223
Os06g0594650	AK360634
Os06g0594700	ab
Os06g0594940	AK241911
Os06g0595180	CU405858
Os06g0595433	AK064122
Os06g0595566	tplb0043a14
Os06g0595700	ab
Os06g0595800	AK120657
Os06g0595900	AK066655
Os06g0595900	AK059610
Os06g0596200	CT836238
Os06g0596300	AK120303
Os06g0597000	AK069376
Os06g0597000	AK061037
Os06g0597200	AK070996
Os06g0597200	AK068472
Os06g0597250	EF441275
Os06g0597400	CT836234
Os06g0597500	ab
Os06g0597600	AK120804
Os06g0597800	AK120083
Os06g0597900	AK065544
Os06g0598800	AK101377
Os06g0598850	tplb0055l20
Os06g0598900	AK100386
Os06g0598900	AK105052
Os06g0599200	AK318614
Os06g0599400	FP095252
Os06g0599700	ab
Os06g0600100	AK065619
Os06g0600200	BT085228
Os06g0600301	A2YEQ6
Os06g0600350	BT016258
Os06g0600400	AK106672
Os06g0600700	AK064997
Os06g0600700	AK102773
Os06g0600800	AK108284
Os06g0601000	AK071330
Os06g0601100	AK059761
Os06g0601500	AK241558
Os06g0601600	BT066155
Os06g0602000	EU949081
Os06g0602400	AK106474
Os06g0602500	AK111737
Os06g0602600	AK121619
Os06g0602700	AK364357
Os06g0602800	AK070134
Os06g0602900	AK243009
Os06g0602950	BT061853
Os06g0603000	AK068856
Os06g0603300	CT836271
Os06g0603400	AK106905
Os06g0603400	AK102325
Os06g0603600	AK072067
Os06g0603600	AK063544
Os06g0603800	EU963876
Os06g0604000	AK066422
Os06g0604000	AK061163
Os06g0604200	AK100278
Os06g0604300	AK119861
Os06g0604400	AK072121
Os06g0604500	AK070190
Os06g0604500	AK059035
Os06g0604600	AK069255
Os06g0605600	AK106613
Os06g0605750	ab
Os06g0605900	AK065140
Os06g0605900	AK061949
Os06g0605950	BT054665
Os06g0606000	AK102270
Os06g0606100	AK121642
Os06g0606250	tplb0001l19
Os06g0606401	AK288569
Os06g0606599	ab
Os06g0606700	AK359397
Os06g0606800	AK066355
Os06g0606800	AK106565
Os06g0606800	AK061909
Os06g0606900	AK068134
Os06g0607000	AK121115
Os06g0607100	AK071250
Os06g0607200	AK242958
Os06g0607700	AK106792
Os06g0607750	BT084685
Os06g0607800	AK063158
Os06g0607850	tplb0035c03
Os06g0607900	AK070879
Os06g0608000	AK119328
Os06g0608050	AK241542
Os06g0608050	AK241742
Os06g0608100	tplb0012d16
Os06g0608300	AK102908
