Os01g0100100	RabGAP/TBC_domain_containing_protein.
Os04g0617900	Similar_to_germin_like protein subfamily 1 member 11.
Os04g0618050	Pentatricopeptide_repeat_containing_protein.
Os04g0618100	Hypothetical_gene.
Os04g0618200	Similar_to_cDNA_clone:J013046D23,_full_insert_sequence.
Os04g0618200	Similar_to_H0313F03.11_protein.
Os04g0618400	Similar_to_H0313F03.13_protein.
Os04g0618500	Similar_to_Gamma_SNAP (Fragment).
Os04g0618600	Similar_to_Long_hypocotyl_in_far_red 1 (bHLH_like protein HFR1) (Reduced phytochrome signaling) (Basic helix_loop_helix FBI1 protein) (Basic helix_loop_helix protein 26) (bHLH26) (AtbHLH026) (Reduced sensitivity to far_red light).
Os04g0618700	Protein_kinase,_core_domain_containing_protein.
Os04g0618800	Hypothetical_protein.
Os04g0618950	Similar_to_H0114G12.1_protein.
Os04g0619000	Similar_to_L1332.9_protein.
Os04g0619200	Similar_to_H0114G12.3_protein.
Os04g0619200	Hypothetical_gene.
Os04g0619300	Similar_to_H0114G12.4_protein.
Os04g0619300	Similar_to_L1332.8_protein.
Os04g0619400	Protein_kinase,_core_domain_containing_protein.
Os04g0619500	Ovarian_tumour,_otubain_domain_containing_protein.
Os04g0619600	Similar_to_Resistance_protein_candidate_(Fragment).
Os04g0619700	Similar_to_H0114G12.8_protein.
Os04g0619800	Similar_to_H0714H04.3_protein.
Os04g0619900	Similar_to_H0114G12.10_protein.
Os04g0620000	C_type ATP_binding cassette (ABC) transporter, Arsenic (As) detoxification, Reduction of As in grains
Os04g0620132	Hypothetical_gene.
Os04g0620200	Remorin_protein,_Grain_setting
Os04g0620400	SIT4_phosphatase_associated protein family protein.
Os04g0620500	Similar_to_H0714H04.7_protein.
Os04g0620600	Similar_to_NOI_protein.
Os04g0620700	Nucleolin_like protein, Salt stress response
Os04g0620700	Hypothetical_conserved_gene.
Os04g0620800	Similar_to_H0714H04.10_protein.
Os04g0620950	Hypothetical_conserved_gene.
Os04g0621100	Hypothetical_protein.
Os04g0621500	Disease_resistance_protein_domain_containing_protein.
Os04g0621650	Hypothetical_gene.
Os04g0621900	Conserved_hypothetical_protein.
Os04g0622000	Similar_to_bromodomain_containing_protein.
Os04g0622400	Hypothetical_gene.
Os04g0622501	Hypothetical_gene.
Os04g0622800	Similar_to_bromodomain_containing_protein.
Os04g0623066	Similar_to_XA1.
Os04g0623100	Bromodomain_containing_protein.
Os04g0623200	Similar_to_H0215F08.2_protein.
Os04g0623300	Polyamine_oxidase,_Seed_germination
Os04g0623300	Similar_to_H0215F08.3_protein.
Os04g0623400	Exonuclease_domain_containing_protein.
Os04g0623400	Similar_to_H0215F08.4_protein.
Os04g0623500	Similar_to_H0215F08.7_protein.
Os04g0623500	Similar_to_Peroxisomal_(S)_2_hydroxy_acid oxidase GLO3.
Os04g0623550	Hypothetical_gene.
Os04g0623600	Similar_to_Peroxisomal_(S)_2_hydroxy_acid oxidase GLO2.
Os04g0623650	Hypothetical_gene.
Os04g0623700	Similar_to_Signal_recognition_particle_14_kDa_protein_(SRP14).
Os04g0623800	Similar_to_Aminomethyltransferase,_mitochondrial_precursor_(EC_2.1.2.10)_(Glycine_cleavage_system_T_protein)_(GCVT).
Os04g0623800	Similar_to_H0215F08.10_protein.
Os04g0624000	Similar_to_Symbiosis_related like protein.
Os04g0624100	Hypothetical_conserved_gene.
Os04g0624400	Similar_to_H0215F08.12_protein.
Os04g0624450	Similar_to_H0215F08.12_protein.
Os04g0624500	Similar_to_Polyphenol_oxidase_(EC_1.10.3.1)_(Fragment).
Os04g0624600	Starch_synthase,_Starch_biosynthesis
Os04g0624600	Similar_to_H0215F08.14_protein.
Os04g0624650	Hypothetical_protein.
Os04g0624701	Hypothetical_conserved_gene.
Os04g0624800	Aldo/keto_reductase_domain_containing_protein.
Os04g0624900	Conserved_hypothetical_protein.
Os04g0625000	Conserved_hypothetical_protein.
Os04g0625100	Similar_to_OSIGBa0148A10.1_protein.
Os04g0625200	Phospholipid/glycerol_acyltransferase_family_protein.
Os04g0625300	Similar_to_OSIGBa0148A10.3_protein.
Os04g0625350	Similar_to_OSIGBa0148A10.3_protein.
Os04g0625400	Similar_to_OSIGBa0148A10.4_protein.
Os04g0625500	Similar_to_OSIGBa0148A10.5_protein.
Os04g0625600	Kelch_related_domain_containing_protein.
Os04g0625800	Similar_to_RNA_Binding_Protein_45.
Os04g0625850	Hypothetical_protein.
Os04g0625900	Similar_to_OSIGBa0148A10.9_protein.
Os04g0626000	Similar_to_OSIGBa0148A10.10_protein.
Os04g0626100	HMG_I and HMG_Y, DNA_binding domain containing protein.
Os04g0626300	Hypothetical_protein.
Os04g0626400	Similar_to_OSIGBa0148A10.12_protein.
Os04g0626450	NB_ARC domain containing protein.
Os04g0626500	Similar_to_Disease_resistance_protein_RGA2_(RGA2_blb) (Blight resistance protein RPI).
Os04g0626600	Similar_to_OSIGBa0117N13.2_protein.
Os04g0626700	Similar_to_OSIGBa0117N13.2_protein.
Os04g0626900	Similar_to_OSIGBa0117N13.4_protein.
Os04g0627000	Similar_to_Homeobox_leucine zipper protein ROC2.
Os04g0627132	Hypothetical_protein.
Os04g0627200	Similar_to_H0303G06.1_protein.
Os04g0627300	Similar_to_H0303G06.2_protein.
Os04g0627400	Hypothetical_conserved_gene.
Os04g0627900	Translation_initiation_factor_SUI1_domain_containing_protein.
Os04g0628000	Protein_of_unknown_function_DUF794,_plant_family_protein.
Os04g0628100	Similar_to_Polyubiquitin.
Os04g0628200	Similar_to_H0303G06.9_protein.
Os04g0628300	Late_embryogenesis_abundant_protein,_LEA_14 domain containing protein.
Os04g0628400	Zinc_finger,_BED_type predicted domain containing protein.
Os04g0628400	Similar_to_Transposase_related protein b_gary.
Os04g0628400	Zinc_finger,_BED_type predicted domain containing protein.
Os04g0628600	Conserved_hypothetical_protein.
Os04g0628900	Cyclin_P1_1.
Os04g0629000	Similar_to_H0303G06.15_protein.
Os04g0629000	Similar_to_PEX22_(peroxin_22);_protein_binding.
Os04g0629100	Similar_to_H0303G06.16_protein.
Os04g0629200	Cupredoxin_domain_containing_protein.
Os04g0629300	Similar_to_H0303G06.18_protein.
Os04g0629300	DEAD_like helicase, N_terminal domain containing protein.
Os04g0629400	Similar_to_H0303G06.19_protein.
Os04g0629500	Similar_to_Thioredoxin_h.
Os04g0629600	Conserved_hypothetical_protein.
Os04g0629600	Similar_to_Transposase_of_Tn10_[Oryza_sativa_(japonica_cultivar_group)].
Os04g0629700	Similar_to_Kinesin_1 (Kinesin_like protein A).
Os04g0629700	Similar_to_H0303G06.20_protein.
Os04g0630000	SDA1_domain_containing_protein.
Os04g0630100	NAD(P)_binding domain containing protein.
Os04g0630300	NAD(P)_binding domain containing protein.
Os04g0630400	NAD(P)_binding domain containing protein.
Os04g0630500	Similar_to_H0323C08.15_protein.
Os04g0630551	Hypothetical_gene.
Os04g0630600	Similar_to_H0323C08.16_protein.
Os04g0630700	Similar_to_H0323C08.17_protein.
Os04g0630800	Similar_to_Anthocyanidin_reductase.
Os04g0630900	Similar_to_H0105C05.3_protein.
Os04g0631000	Similar_to_H0105C05.4_protein.
Os04g0631100	Similar_to_H0105C05.5_protein.
Os04g0631200	Similar_to_cDNA_clone:J033024P08,_full_insert_sequence.
Os04g0631200	Similar_to_Xyloglucan_endotransglycosylase_(Fragment).
Os04g0631600	Basic_helix_loop_helix dimerisation region bHLH domain containing protein.
Os04g0631800	Similar_to_H0105C05.10_protein.
Os04g0632000	Hypothetical_protein.
Os04g0632100	S_locus receptor_like kinase RLK13.
Os04g0632200	Hypothetical_protein.
Os04g0632300	Similar_to_H0105C05.10_protein.
Os04g0632400	Hypothetical_protein.
Os04g0632400	Hypothetical_gene.
Os04g0632500	Protein_kinase,_catalytic_domain_domain_containing_protein.
Os04g0632600	Bulb_type lectin domain domain containing protein.
Os04g0632750	Hypothetical_protein.
Os04g0632901	Similar_to_H0613A10.1_protein.
Os04g0633200	Similar_to_H0613A10.1_protein.
Os04g0633225	Hypothetical_protein.
Os04g0633300	Similar_to_H0613A10.4_protein.
Os04g0633400	Conserved_hypothetical_protein.
Os04g0633500	Conserved_hypothetical_protein.
Os04g0633600	Similar_to_H0613A10.6_protein.
Os04g0633800	Protein_kinase,_catalytic_domain_domain_containing_protein.
Os04g0633850	Hypothetical_protein.
Os04g0633900	Similar_to_H0315F07.1_protein.
Os04g0633950	Hypothetical_protein.
Os04g0634000	Serine/threonine_protein_kinase_related domain containing protein.
Os04g0634400	Similar_to_H0315F07.5_protein.
Os04g0634500	Similar_to_H0315F07.6_protein.
Os04g0634600	Hypothetical_gene.
Os04g0634700	Similar_to_Diacylglycerol_kinase.
Os04g0634800	Similar_to_H0315F07.8_protein.
Os04g0634900	Similar_to_H0315F07.9_protein.
Os04g0635000	Similar_to_H0315F07.10_protein.
Os04g0635100	Similar_to_H0315F07.12_protein.
Os04g0635400	Conserved_hypothetical_protein.
Os04g0635500	Similar_to_Wound_induced_protein_(Fragment).
Os04g0635700	Aldehyde_dehydrogenase,_conserved_site_domain_containing_protein.
Os04g0635800	Acyl_CoA N_acyltransferase domain containing protein.
Os04g0635900	DNA_repair_exonuclease_family_protein.
Os04g0636000	Similar_to_H0410G08.12_protein.
Os04g0636100	Glycosyl_transferase,_family_8_protein.
Os04g0636200	Hpt_domain_containing_protein.
Os04g0636300	Similar_to_H0410G08.15_protein.
Os04g0636400	Similar_to_H0410G08.16_protein.
Os04g0636500	BTB_domain_containing_protein.
Os04g0636550	Hypothetical_protein.
Os04g0636600	Hypothetical_conserved_gene.
Os04g0636600	Mitochondrial_inner_membrane_protein_Mitofilin_domain_containing_protein.
Os04g0636700	Similar_to_117M18_7.
Os04g0636700	Hypothetical_conserved_gene.
Os04g0636750	Hypothetical_gene.
Os04g0636800	Conserved_hypothetical_protein.
Os04g0636900	RNA_binding region RNP_1  (RNA recognition motif) domain containing protein.
Os04g0637000	Similar_to_BZIP_transcription_factor_bZIP52.
Os04g0637000	Similar_to_Basic_leucine_zipper_protein_(Liguleless2).
Os04g0637300	Similar_to_predicted_protein.
Os04g0637400	Similar_to_PolI_like DNA polymerase.
Os04g0637500	Mitochodrial_transcription_termination_factor_related family protein.
Os04g0638100	Transferase_family_protein.
Os04g0638300	Hypothetical_protein.
Os04g0638401	Similar_to_transferase.
Os04g0638600	Hypothetical_conserved_gene.
Os04g0638700	Conserved_hypothetical_protein.
Os04g0638800	Protein_of_unknown_function_DUF617,_plant_family_protein.
Os04g0639000	Conserved_hypothetical_protein.
Os04g0639100	Conserved_hypothetical_protein.
Os04g0639200	Similar_to_OSIGBa0138H21_OSIGBa0138E01.1 protein.
Os04g0639300	Conserved_hypothetical_protein.
Os04g0639700	Similar_to_OSIGBa0138H21_OSIGBa0138E01.9 protein.
Os04g0639800	Similar_to_OSIGBa0138H21_OSIGBa0138E01.9 protein.
Os04g0640200	Conserved_hypothetical_protein.
Os04g0640300	Similar_to_OSIGBa0138H21_OSIGBa0138E01.10 protein.
Os04g0640500	ABC_1 domain containing protein.
Os04g0640600	Shikimate_kinase.
Os04g0640600	Similar_to_OSIGBa0138H21_OSIGBa0138E01.13 protein.
Os04g0640700	Similar_to_Alpha_L_arabinofuranosidase/beta_D_xylosidase isoenzyme ARA_I.
Os04g0640700	Similar_to_OSIGBa0138H21_OSIGBa0138E01.14 protein.
Os04g0640750	Hypothetical_protein.
Os04g0640800	Programmed_cell_death_protein_2,_C_terminal domain containing protein.
Os04g0640900	Similar_to_ORW1943Ba0077G13.1_protein.
Os04g0641000	Similar_to_DNA_directed RNA polymerase.
Os04g0641200	Similar_to_Pectin_methylesterase_like protein.
Os04g0641250	Hypothetical_protein.
Os04g0641300	Thioredoxin_fold_domain_containing_protein.
Os04g0641350	Hypothetical_protein.
Os04g0641400	Similar_to_H0423H10.3_protein.
Os04g0641450	Hypothetical_gene.
Os04g0641700	Similar_to_H0423H10.4_protein.
Os04g0642000	Similar_to_MDR_like p_glycoprotein.
Os04g0642000	Similar_to_H0423H10.7_protein.
Os04g0642100	Microtubule_associated protein EB1.
Os04g0642300	Similar_to_H0423H10.10_protein.
Os04g0643000	Similar_to_Cullin_3 (CUL_3). Splice isoform 2.
Os04g0643100	Similar_to_Vacuolar_ATP_synthase_subunit_D_(EC_3.6.3.14)_(V_ATPase D subunit) (Vacuolar proton pump D subunit).
Os04g0643200	Amidase_family_protein.
Os04g0643300	Similar_to_3_ketoacyl carrier protein synthase III.
Os04g0643500	Similar_to_H0306F03.8_protein.
Os04g0643550	Hypothetical_protein.
Os04g0643600	Similar_to_Cyclic_nucleotide_gated channel C (Fragment).
Os04g0643700	Pentatricopeptide_repeat_domain_containing_protein.
Os04g0643700	Similar_to_H0306F03.10_protein.
Os04g0643750	Hypothetical_protein.
Os04g0643800	Similar_to_H0306F03.11_protein.
Os04g0644000	Similar_to_H0306F03.12_protein.
Os04g0644050	Hypothetical_protein.
Os04g0644100	Sterile_alpha_motif_homology_domain_containing_protein.
Os04g0644200	Similar_to_H0306F03.14_protein.
Os04g0644300	Similar_to_H0413E07.5_protein.
Os04g0644400	Similar_to_Proline_rich_like protein.
Os04g0644433	Hypothetical_genes.
Os04g0644600	Epoxide_hydrolase_family_protein.
Os04g0644675	Similar_to_H0413E07.9_protein.
Os04g0644700	Coatomer,_epsilon_subunit_domain_containing_protein.
Os04g0644750	Hypothetical_protein.
Os04g0644800	Similar_to_Chloride_channel_like protein Osclc.
Os04g0644900	C2_domain_containing_protein.
Os04g0644950	Conserved_hypothetical_protein.
Os04g0645001	Hypothetical_genes.
Os04g0645100	Tetratricopeptide_repeat_(TPR)_domain_containing_protein,_Grain_size_and_starch_quality
Os04g0645100	Similar_to_H0811D08.1_protein.
Os04g0645200	VQ_domain_containing_protein.
Os04g0645500	Nicotinamide_N_methyltransferase, putative domain containing protein.
Os04g0645600	Protein_of_unknown_function_DUF6,_transmembrane_domain_containing_protein.
Os04g0645700	Similar_to_H0811D08.5_protein.
Os04g0645901	Hypothetical_protein.
Os04g0646000	Similar_to_H0811D08.6_protein.
Os04g0646050	Similar_to_H0811D08.6_protein.
Os04g0646100	Similar_to_cDNA_clone:J013093N15,_full_insert_sequence.
Os04g0647300	Similar_to_H0811D08.10_protein.
Os04g0647425	Protein_of_unknown_function_DUF247,_plant_domain_containing_protein.
Os04g0647800	Similar_to_Glycerol_kinase_like protein.
Os04g0647900	Leucine_rich repeat, N_terminal domain containing protein.
Os04g0648200	Leucine_rich repeat, plant specific containing protein.
Os04g0648400	Similar_to_H0811D08.17_protein.
Os04g0648500	Zinc_finger,_RING/FYVE/PHD_type domain containing protein.
Os04g0648600	Similar_to_H0821G03.14_protein.
Os04g0648700	DNA_repair_nuclease,_XPF_type/Helicase domain containing protein.
Os04g0648750	Hypothetical_gene.
Os04g0648775	Hypothetical_protein.
Os04g0648800	C3HC4_RING_domain_containing E3 ubiquitin ligase, Modulation of heading date by physically interacting with Hd1
Os04g0648800	Similar_to_Zinc_finger,_C3HC4_type_family_protein.
Os04g0648900	Similar_to_Dehydration_responsive_element_binding_protein_2F_(DREB2F_protein).
Os04g0649000	Conserved_hypothetical_protein.
Os04g0649051	Similar_to_H0211B05.9_protein.
Os04g0649100	Similar_to_cDNA_clone:J023121E19,_full_insert_sequence.
Os04g0649100	Pathogenesis_related transcriptional factor and ERF domain containing protein.
Os04g0649100	APETALA2_transcription_factor,_Seed_shattering_through_abscission_zone_(AZ)_development
Os04g0649150	Hypothetical_protein.
Os04g0649200	Similar_to_H0212B02.1_protein.
Os04g0649400	WUSCHEL_related homeobox protein, Meristem maintenance
Os04g0649500	Similar_to_H0212B02.4_protein.
Os04g0649600	Conserved_hypothetical_protein.
Os04g0649700	Serine/threonine_protein_kinase_related domain containing protein.
Os04g0649700	Similar_to_H0212B02.5_protein.
Os04g0649900	Protein_of_unknown_function_DUF579,_plant_family_protein.
Os04g0650000	Similar_to_Oryzain_alpha_chain_precursor_(EC_3.4.22._).
Os04g0650000	Similar_to_cDNA_clone:J013002H09,_full_insert_sequence.
Os04g0650200	Lipase,_GDSL_domain_containing_protein.
Os04g0650300	Similar_to_H0212B02.9_protein.
Os04g0650333	Hypothetical_conserved_gene.
Os04g0650366	Similar_to_H0212B02.9_protein.
Os04g0650416	Hypothetical_protein.
Os04g0650500	Similar_to_H0212B02.11_protein.
Os04g0650600	Exonuclease_domain_containing_protein.
Os04g0650700	Similar_to_OSIGBa0113E10.3_protein.
Os04g0650750	Hypothetical_protein.
Os04g0650800	Similar_to_Phosphoglycerate_dehydrogenase.
Os04g0650800	Similar_to_H0212B02.14_protein.
Os04g0650900	Similar_to_Alpha_N_acetylglucosaminidase.
Os04g0651000	Similar_to_Peroxidase.
Os04g0651350	Hypothetical_protein.
Os04g0651500	Similar_to_OSIGBa0113E10.9_protein.
Os04g0651600	Similar_to_OSIGBa0113E10.10_protein.
Os04g0652400	Ortholog_of_the_sulfate_transporter_family_group_3_,_Grain_metabolism
Os04g0652400	Similar_to_OSIGBa0113E10.13_protein.
Os04g0652450	Hypothetical_protein.
Os04g0652500	Similar_to_OSIGBa0113E10.14_protein.
Os04g0652550	Hypothetical_protein.
Os04g0652600	Similar_to_OSIGBa0113E10.15_protein.
Os04g0652700	Similar_to_Nuclease_PA3.
Os04g0652700	Similar_to_nuclease_PA3.
Os04g0652900	Peptidyl_tRNA hydrolase, PTH2 domain containing protein.
Os04g0653000	Jasmonic_acid_(JA)_signalling_repressor,_Regulation_of_spikelet_development
Os04g0653100	Uncharacterised_protein_family_UPF0136,_Transmembrane_domain_containing_protein.
Os04g0653200	Similar_to_Low_affinity_calcium_transporter_CAX2_(Fragment).
Os04g0653300	Aux/IAA_ARF_dimerisation_domain_containing_protein.
Os04g0653400	Similar_to_NADPH_cytochrome P450 reductase (Fragment).
Os04g0653600	Similar_to_AINTEGUMENTA_like protein.
Os04g0653700	Conserved_hypothetical_protein.
Os04g0654400	Eggshell_protein_family_protein.
Os04g0654500	Conserved_hypothetical_protein.
Os04g0654550	General_substrate_transporter_domain_containing_protein.
Os04g0654600	Protein_kinase,_core_domain_containing_protein.
Os04g0654700	Similar_to_COP9_signalosome_complex_subunit_5b_(EC_3.4._._) (Signalosome subunit 5b) (Jun activation domain_binding homolog 1).
Os04g0654800	Similar_to_OSIGBa0147J19.7_protein.
Os04g0655000	Curculin_like (mannose_binding) lectin domain containing protein.
Os04g0655300	Protein_kinase,_core_domain_containing_protein.
Os04g0655400	Similar_to_OSIGBa0147J19.10_protein.
Os04g0655600	Similar_to_OSIGBa0147J19.13_protein.
Os04g0655700	Similar_to_OSIGBa0147J19.14_protein.
Os04g0656100	H+_ATPase, Blue light_induced stomatal opening of dumbbell_shaped guard cells, N uptake
Os04g0656100	Similar_to_OSIGBa0158D24.1_protein.
Os04g0656500	Similar_to_Squamosa_promoter binding_like protein 3.
Os04g0656800	Similar_to_Peroxidase_precursor_(EC_1.11.1.7).
Os04g0657000	Conserved_hypothetical_protein.
Os04g0657100	Similar_to_Farnesyl_diphosphate_synthase_(Fragment).
Os04g0657300	Conserved_hypothetical_protein.
Os04g0657500	Lipase,_class_3_family_protein.
Os04g0657600	Cyclin_like F_box domain containing protein.
Os04g0657900	Similar_to_Fortune_1.
Os04g0658000	Similar_to_OSIGBa0132E09_OSIGBa0108L24.1 protein.
Os04g0658000	Similar_to_Possible_apospory_associated like protein.
Os04g0658100	Histone_fold domain containing protein.
Os04g0658200	Similar_to_OSIGBa0132E09_OSIGBa0108L24.3 protein.
Os04g0658300	Similar_to_Ribulose_bisphosphate_carboxylase/oxygenase_activase,_chloroplast_precursor_(RuBisCO_activase)_(RA).
Os04g0658400	Hypothetical_conserved_gene.
Os04g0658600	Similar_to_OSIGBa0132E09_OSIGBa0108L24.7 protein.
Os04g0658600	Nucleolar,_Nop52_family_protein.
Os04g0658700	Similar_to_OSIGBa0132E09_OSIGBa0108L24.8 protein.
Os04g0658800	Similar_to_OSIGBa0132E09_OSIGBa0108L24.9 protein.
Os04g0659000	Similar_to_OSIGBa0132E09_OSIGBa0108L24.10 protein.
Os04g0659100	Glutamine_synthetase_shoot_isozyme,_chloroplast_precursor_(EC_6.3.1.2)_(Glutamate__ammonia ligase) (Clone lambda_GS31).
Os04g0659100	Similar_to_Isoform_2_of_Glutamine_synthetase,_chloroplastic.
Os04g0659100	Glutamine_synthetase_shoot_isozyme,_chloroplast_precursor_(EC_6.3.1.2)_(Glutamate__ammonia ligase) (Clone lambda_GS31).
Os04g0659125	Hypothetical_gene.
Os04g0659150	Similar_to_OSIGBa0132E09_OSIGBa0108L24.12 protein.
Os04g0659200	Hypothetical_protein.
Os04g0659300	Receptor_like protein, Root development, Salt stress response, Regulation of iron acquisition
Os04g0659400	ENT_domain_containing_protein.
Os04g0659500	Protein_phosphatase_2C_domain_containing_protein.
Os04g0659500	Similar_to_OSIGBa0132E09_OSIGBa0108L24.16 protein.
Os04g0659800	Similar_to_OSIGBa0132E09_OSIGBa0108L24.20 protein.
Os04g0659850	Hypothetical_protein.
Os04g0659900	Similar_to_OSIGBa0132E09_OSIGBa0108L24.21 protein.
Os04g0660000	Similar_to_OSIGBa0132E09_OSIGBa0108L24.22 protein.
Os04g0660100	Helix_loop_helix DNA_binding domain containing protein.
Os04g0660100	Similar_to_H0112G12.1_protein.
Os04g0660200	Similar_to_H0112G12.2_protein.
Os04g0660400	Similar_to_Amylogenin;_reversibly_glycosylatable_polypeptide_(Amylogenin).
Os04g0660500	Armadillo_type fold domain containing protein.
Os04g0660600	ATPase,_V0_complex,_subunit_E_domain_containing_protein.
Os04g0660900	TGF_beta receptor, type I/II extracellular region family protein.
Os04g0661100	Similar_to_H0112G12.8_protein.
Os04g0661200	Inositol_pentakisphosphate 2_kinase, metazoa domain containing protein.
Os04g0661250	Hypothetical_gene.
Os04g0661300	Similar_to_H0112G12.10_protein.
Os04g0661600	Similar_to_H0112G12.13_protein.
Os04g0661600	Similar_to_H0112G12.12_protein.
Os04g0661600	Similar_to_H0112G12.13_protein.
Os04g0661700	Similar_to_H0112G12.14_protein.
Os04g0661800	MED7_family_protein.
Os04g0661900	Similar_to_26S_proteasome_regulatory_particle_non_ATPase subunit8.
Os04g0662000	Similar_to_BSD_domain_containing_protein.
Os04g0662100	Similar_to_40S_ribosomal_protein_S4_like.
Os04g0662200	Auxin_responsive_SAUR_protein_family_protein.
Os04g0662400	Auxin_responsive_SAUR_protein_family_protein.
Os04g0662600	Similar_to_Naringenin,2_oxoglutarate 3_dioxygenase.
Os04g0662700	Similar_to_GTP_cyclohydrolase_1_isoform_TaA.
Os04g0662800	Regulator_of_chromosome_condensation,_RCC1_domain_containing_protein.
Os04g0662850	Hypothetical_protein.
Os04g0662900	RNA_polymerase_III_transcriptional_repressor,_MAF1_domain_containing_protein.
Os04g0663100	Similar_to_OSIGBa0099L20.2_protein.
Os04g0663200	Zinc_finger,_CCCH_type domain containing protein.
Os04g0663200	Similar_to_OSIGBa0099L20.3_protein.
Os04g0663300	Similar_to_PHD_finger_like domain protein 5A (Splicing factor 3B associated 14 kDa protein) (SF3b14b).
Os04g0663500	Similar_to_OSIGBa0099L20.5_protein.
Os04g0663600	Homeobox_protein_orthologous_to_Arabidopsis_WUS,_Initiation_of_axillary_meristem_formation
Os04g0663700	Similar_to_OSIGBa0099L20.7_protein.
Os04g0663800	Similar_to_Peptidyl_prolyl cis_trans isomerase 1 (EC 5.2.1.8) (Rotamase Pin1) (PPIase Pin1) (PIN1At).
Os04g0664300	Hypothetical_protein.
Os04g0664400	Auxin_response_factor_1.
Os04g0664400	Similar_to_Auxin_response_factor_11.
Os04g0664500	Similar_to_H1005F08.2_protein.
Os04g0664600	Similar_to_H1005F08.3_protein.
Os04g0664666	Hypothetical_protein.
Os04g0664800	Similar_to_Cell_wall_invertase_(EC_3.2.1.26).
Os04g0664900	Similar_to_H1005F08.5_protein.
Os04g0664950	Hypothetical_protein.
Os04g0665000	CHCH_domain_containing_protein.
Os04g0665200	SABATH_family_protein,_IAA_homeostasis
Os04g0665400	Similar_to_H1005F08.7_protein.
Os04g0665500	Similar_to_H1005F08.9_protein.
Os04g0665600	Similar_to_Phosphate_starvation_response_regulator_like protein.
Os04g0665666	Conserved_hypothetical_protein.
Os04g0665700	K_Homology,_type_1,_subgroup_domain_containing_protein.
Os04g0665800	Similar_to_H1005F08.12_protein.
Os04g0665900	Similar_to_H1005F08.13_protein.
Os04g0666800	Similar_to_H1005F08.21_protein.
Os04g0666900	Similar_to_H1005F08.22_protein.
Os04g0667000	Tafazzin_family_protein.
Os04g0667100	Hypothetical_protein.
Os04g0667200	Similar_to_H1005F08.24_protein.
Os04g0667300	Hypothetical_protein.
Os04g0667400	2OG_Fe(II) oxygenase domain containing protein.
Os04g0667500	Similar_to_Candida_glabrata_strain_CBS138_chromosome_C_complete_sequence.
Os04g0667600	Heavy_metal_transport/detoxification_protein_domain_containing_protein.
Os04g0667700	Similar_to_Actin_related protein 8A.
Os04g0667800	Ubiquitin_conjugating enzyme (EC 6.3.2.19) (Ubiquitin carrier protein).
Os04g0667800	Similar_to_Ubiquitin_carrier_protein.
Os04g0667900	Regulatory_protein_RecX_family_protein.
Os04g0667900	Similar_to_regulatory_protein_RecX.
Os04g0668000	Conserved_hypothetical_protein.
Os04g0668200	Hypothetical_protein.
Os04g0668600	Kelch_type beta propeller domain containing protein.
Os04g0668700	Phosphatidylinositol_3_ and 4_kinase, catalytic domain containing protein.
Os04g0668700	Similar_to_phosphatidylinositol_3_ and 4_kinase family protein.
Os04g0668800	Putative_thiol_disulphide oxidoreductase DCC family protein.
Os04g0668900	Protein_similar_to_plastid_terminal_oxidase,_Carotenoid_and_strigolactone_synthesis
Os04g0669100	Conserved_hypothetical_protein.
Os04g0669200	Similar_to_Ethylene_response_factor_2_(Ethylene_response_factor_3).
Os04g0669300	EF_hand_domain_containing_protein.
Os04g0669450	Hypothetical_gene.
Os04g0669475	Conserved_hypothetical_protein.
Os04g0669500	Phospholipase/carboxylesterase_domain_containing_protein.
Os04g0669600	Phospholipase/carboxylesterase_domain_containing_protein.
Os04g0669700	Similar_to_H0818H01.9_protein.
Os04g0669800	Methylthioribose_kinase_(EC_2.7.1.100).
Os04g0669900	Similar_to_H0818H01.11_protein.
Os04g0670000	Reticulon_family_protein.
Os04g0670100	Similar_to_H0818H01.13_protein.
Os04g0670150	Hypothetical_protein.
Os04g0670200	Similar_to_Oryzain_beta_chain_precursor_(EC_3.4.22._).
Os04g0670200	Granulin_domain_containing_protein.
Os04g0670400	Similar_to_H0624F09.2_protein.
Os04g0670500	Cysteine_protease_1_precursor_(EC_3.4.22._) (OsCP1).
Os04g0670600	Similar_to_H0624F09.5_protein.
Os04g0670700	Similar_to_H0624F09.4_protein.
Os04g0670800	UBX_domain_containing_protein.
Os04g0670900	Homeodomain_like containing protein.
Os04g0671100	Similar_to_H0624F09.8_protein.
Os04g0671200	Polyamine_oxidase,_Seed_germination
Os04g0671200	Similar_to_H0624F09.9_protein.
Os04g0671250	Hypothetical_protein.
Os04g0671300	Polyamine_oxidase,_Seed_germination
Os04g0671500	Hypothetical_protein.
Os04g0671700	ThiJ/PfpI_domain_containing_protein.
Os04g0671800	Zinc_finger,_CCCH_type domain containing protein.
Os04g0671800	Similar_to_H0624F09.12_protein.
Os04g0671900	Transcription_factor,_Regulator_for_phosphate_homeostasis
Os04g0671900	Similar_to_Auxin_response_factor_12.
Os04g0672100	Similar_to_Phytosulfokine_receptor_precursor_(EC_2.7.1.37)_(Phytosulfokine_LRR_receptor_kinase).
Os04g0672200	Poly(ADP_ribose) polymerase, catalytic region domain containing protein.
Os04g0672300	Similar_to_H0322F07.3_protein.
Os04g0672600	Leucine_rich repeat, N_terminal domain containing protein.
